City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Dalbandin,24,25.0,28.9,64.41,76.61,2.62
Kungurtug,12,82.0,50.6,97.53,53.57,2.51
Hastings,64,95.0,-39.64,176.84,51.95,6.53
Thinadhoo,92,100.0,0.53,72.93,78.68,21.52
Olinda,40,65.0,-2.03,-79.75,78.8,4.7
Portoviejo,75,83.0,-1.05,-80.45,75.2,10.29
Conceicao do araguaia,0,48.0,-8.26,-49.26,78.5,4.74
Samarai,76,98.0,-10.62,150.67,78.5,16.71
Kinablangan,20,96.0,7.69,126.55,85.25,6.08
Saint-augustin,0,78.0,44.83,-0.61,71.6,3.36
Kamaishi,75,88.0,39.28,141.86,71.6,3.36
Jesus maria,0,95.0,-20.49,-69.32,58.97,2.73
Taoudenni,0,18.0,22.68,-3.98,81.74,3.96
Whitianga,48,100.0,-36.83,175.7,54.83,4.41
Kloulklubed,90,94.0,7.04,134.26,78.8,5.82
Sibu,75,83.0,2.29,111.83,78.8,4.7
Mount gambier,92,98.0,-37.83,140.78,52.94,14.14
Graaff-reinet,36,48.0,-32.25,24.53,52.85,7.31
Darab,36,44.0,28.75,54.55,66.53,1.72
Bandipur,32,91.0,11.67,76.63,65.81,2.17
Mount isa,0,26.0,-20.73,139.49,55.4,4.63
Cayenne,90,100.0,4.94,-52.33,77.0,8.43
Malinovskiy,92,92.0,54.15,34.53,64.73,11.01
Hervey bay,0,88.0,-25.3,152.85,67.07,2.73
Salta,90,30.0,-24.79,-65.41,51.8,5.82
Kichera,36,65.0,55.93,110.1,57.17,2.51
San quintin,75,100.0,17.54,120.52,77.0,4.7
Ocara,0,69.0,-4.49,-38.6,79.4,13.47
Halifax,90,100.0,44.65,-63.58,75.2,6.93
Kendari,80,99.0,-3.99,122.52,72.47,2.39
Srednekolymsk,68,70.0,67.46,153.71,67.25,3.29
Den helder,0,83.0,52.96,4.76,69.8,6.93
Forestville,75,78.0,48.74,-69.09,75.2,2.24
Riyadh,0,13.0,24.63,46.72,91.4,6.93
Zhangjiakou,12,90.0,40.77,114.88,70.58,4.07
Niono,0,89.0,14.25,-5.99,73.82,4.97
Hailar,92,96.0,49.2,119.7,61.4,7.31
Pudozh,44,68.0,61.81,36.54,67.88,8.32
Puerto escondido,75,70.0,15.86,-97.07,86.0,4.74
Harper,1,13.0,30.3,-99.24,109.4,3.36
Umm kaddadah,8,68.0,13.6,26.69,78.5,12.24
Mizdah,80,23.0,31.45,12.98,89.39,11.45
High level,75,52.0,58.52,-117.13,66.2,8.05
Maceio,75,83.0,-9.67,-35.74,75.2,5.82
Sarahan,68,100.0,31.51,77.79,38.54,1.39
Huangmei,0,92.0,30.1,115.95,85.34,3.74
Masvingo,88,98.0,-20.08,30.83,52.67,8.77
Tura,92,99.0,25.52,90.21,74.72,3.18
Shingu,40,74.0,33.72,135.99,84.2,3.36
Iqaluit,40,61.0,63.75,-68.52,48.2,25.28
Hohhot,0,94.0,40.81,111.65,68.0,4.47
